---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
11.2395,398.279
11.2495,382.544
11.2674,391.174
11.2695,385.254
11.2803,389.343
11.2895,394.788
11.3074,374.963
11.3095,389.05
11.3195,377.637
11.3304,375.989
11.3395,375.403
11.3495,377.405
11.3595,382.153
11.3695,382.007
11.3883,381.409
11.3895,378.589
11.3995,375.244
11.4095,372.388
11.4195,378.516
11.4304,387.415
11.4395,386.108
11.4495,377.747
11.4595,374.438
11.4695,383.997
11.4805,375.207
11.4895,371.814
11.4995,386.157
11.5095,378.369
11.5195,377.783
11.5303,376.562
11.5395,371.973
11.5495,381.25
11.5673,376.367
11.5695,381.36
11.5803,378.772
11.5895,377.417
11.5994,378.125
11.6095,371.045
11.6195,381.567
11.6303,381.885
11.6395,370.142
11.6495,382.581
11.6595,382.69
11.6695,384.949
11.6803,393.311
11.6896,392.444
11.6996,388.342
11.7096,397.302
11.7194,390.161
11.7304,405.835
11.7396,402.747
11.7496,393.64
11.7594,392.566
11.7695,407.422
11.7803,405.054
11.7895,403.723
11.7995,402.234
11.8094,397.131
11.8273,401.916
11.8303,397.705
11.8395,396.301
11.8495,393.311
11.8594,394.116
11.8695,395.825
11.8805,396.96
11.8896,410.596
11.8996,412.671
11.9096,419.385
11.9196,407.519
11.9305,401.66
11.9473,410.84
11.9496,425.708
11.9673,426.245
11.9695,415.808
11.9804,424.658
11.9895,407.288
11.9995,425.574
12.0095,400.598
12.0195,414.526
12.0303,424.658
12.0395,404.895
12.0495,423.437
12.0595,399.792
12.0695,413.11
12.0804,418.811
12.0896,408.362
12.0996,421.582
12.1096,397.974
12.1196,414.099
12.1305,420.557
12.1395,400.073
12.1495,420.508
12.1673,413.818
12.1695,408.13
12.1804,423.328
12.1895,397.79
12.1994,411.987
12.2095,418.994
12.2194,398.12
12.2304,408.606
12.2395,420.154
12.2495,399.805
12.2595,407.275
12.2694,419.592
12.2804,411.731
12.2895,398.877
12.2995,410.327
12.3095,418.408
12.3194,403.04
12.3304,397.217
12.3473,413.232
12.3495,410.559
12.3595,415.466
12.3695,410.693
12.3882,397.241
12.3895,397.864
12.3995,397.4
12.4095,395.337
12.4194,397.082
12.4305,400.098
12.4395,395.618
12.4495,401.025
12.4595,399.182
12.4695,398.328
12.4803,399.792
12.4895,397.473
12.4995,400.915
12.5094,406.714
12.5195,410.168
12.5302,412.512
12.5395,417.48
12.5495,408.398
12.5595,398.242
12.5695,399.67
12.5794,403.748
12.5895,409.827
12.6072,410.706
12.6095,416.077
12.6195,414.038
12.6295,409.924
12.6395,403.198
12.6495,397.571
12.6603,398.279
12.6695,398.364
12.6796,402.368
12.6896,406.555
12.6996,414.27
12.7104,413.94
12.7196,409.936
12.7296,411.584
12.7396,410.046
12.7496,405.481
12.7594,398.389
12.7695,399.524
12.7873,417.578
12.7895,416.089
