---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
1.9195,4372.26,25.3903,6,26,0,0,13.638
1.9295,4392.18,25.3903,6,26,0,0,14.1407
1.9395,4470.3,25.3903,6,26,0,0,13.7008
1.9495,4476.55,25.3903,6,26,0,0,14.1407
1.9674,4446.08,26.1715,6,26,0,0,13.8893
1.9695,4374.6,25.3903,5,26,0,0,13.8893
1.9803,4455.07,25.7809,7,25,0,0,13.5123
1.9895,4466.01,25.7809,7,26,0,0,13.5123
1.9995,4421.86,25.7809,6,26,0,0,13.7008
2.0095,4454.68,26.1715,7,26,0,0,13.5751
2.0273,4467.57,26.1715,6,26,0,0,13.638
2.0303,4463.27,26.1715,5,25,0,0,13.8265
2.0396,4446.86,26.1715,5,26,0,0,13.5123
2.0496,4353.51,25.7809,7,26,0,0,14.1407
2.0596,4482.02,25.7809,6,26,0,0,13.9522
2.0696,4498.04,25.7809,6,26,0,0,13.8893
2.0804,4429.29,26.1715,7,26,0,0,13.5123
2.0895,4456.24,25.3903,5,26,0,0,13.7008
2.0995,4459.36,25.7809,7,25,0,0,13.638
2.1095,4370.69,25.3903,6,26,0,0,13.638
2.1195,4449.21,25.3903,6,26,0,0,14.0779
2.1473,4468.35,25.7809,5,26,0,0,13.8265
2.1495,4516.4,25.7809,6,26,0,0,13.8265
2.1595,4479.68,26.1715,6,26,0,0,13.8893
2.1695,4401.16,25.7809,7,26,0,0,14.3921
2.1795,4503.11,25.7809,5,26,0,0,13.638
2.1895,4419.13,26.1715,7,26,0,0,13.7008
2.2075,4509.76,26.5622,6,26,0,0,13.8265
2.2104,4502.72,26.5622,5,26,0,0,13.8265
2.2195,4516.4,26.5622,6,26,0,0,13.5123
2.2295,4515.22,26.5622,7,26,0,0,13.8265
2.2395,4541.01,26.5622,6,27,0,0,14.015
2.2494,4472.26,26.5622,7,26,0,0,13.7008
2.2604,4524.6,26.5622,7,26,0,0,13.638
2.2695,4514.05,26.5622,6,26,0,0,13.8265
2.2873,4565.22,26.9528,6,27,0,0,13.5751
2.2895,4566.01,26.9528,7,26,0,0,14.1407
2.2995,4566.4,27.3434,6,26,0,0,13.9522
2.3103,4579.68,27.3434,7,27,0,0,13.3866
2.3195,4578.9,27.3434,6,27,0,0,13.5751
2.3295,4577.33,26.9528,6,27,0,0,13.5751
2.3395,4573.43,26.9528,7,27,0,0,13.8893
2.3495,4479.29,26.9528,7,26,0,0,13.8265
2.3603,4556.63,26.9528,6,27,0,0,13.8893
2.3695,4573.04,27.734,7,27,0,0,13.5751
2.3795,4512.88,26.9528,7,27,0,0,13.7008
2.3895,4622.65,26.9528,6,27,0,0,13.638
2.4074,4606.63,27.3434,5,27,0,0,13.7008
2.4104,4617.18,26.9528,7,27,0,0,13.7008
2.4195,4668.74,26.9528,6,27,0,0,13.7636
2.4295,4565.22,27.734,6,27,0,0,14.2036
2.4395,4672.65,26.9528,7,27,0,0,13.8265
